;entities
64;['WORK OF ART: Helt og heltinde', 'FACILITY: Københavns Lufthavn', 'PERSON: Rasmus Seebach {song}', 'WORK OF ART: 2017 {song}']
65;['DATE: imorgen', 'QUANTITY: 35 gram']
66;['PERCENT: 66%']
67;['ORGANIZATION: Københavns Universitet']
68;"['EVENT: 1. Slesviske krig', ""PRODUCT: Crush Cheirosa '62 Body Mist""]"
69;['DATE: 25/05/12']
70;['GPE: Sindal']
71;['PERSON: Dolph', 'PRODUCT: PS2', 'PERCENT: 5 %', 'LAW: Lov om visse landdistriktsrelaterede tilskudsordninger m.v.']
72;['PERSON: Glahn']
73;['LOCATION: Vestjylland', 'PERSON: Julian Truelsen']
74;['CARDINAL: 299', 'EVENT: H.K.H. Prins Christians 18-års fødselsdag']
75;['PERSON: George Washington']
76;['LANGUAGE: thai']
77;['LOCATION: Vadehavet', 'MONEY: dkk95', 'LANGUAGE: javanesisk']
78;['PERSON: Ana U.', 'PERSON: Julius E. Severins']
79;['MONEY: 135 kr.']
80;['PERSON: Alonas', 'PERCENT: 67 %']
81;"['PERSON: Sigurd', 'GPE: Senegal', ""PRODUCT: Air Force 1 '07 LV8"", 'PERSON: Alex Ahrendtsen', 'NORP: (DF)']"
82;['EVENT: udbytteskandalen']
83;['GPE: Vejle', 'ORGANIZATION: Skatteministeriets']
84;['ORDINAL: tredje', 'ORDINAL: 1.', 'PERSON: Steffen Sommer Özkan']
85;['PRODUCT: Combi XXL Connected Airfryer']
86;['GPE: Roskilde', 'ORGANIZATION: Volkswagen', 'PRODUCT: Touran']
87;['GPE: Solbjerg']
88;['PERSON: Obama', 'PRODUCT: Blåvand 1/2 Zip Fleece', 'PERCENT: 12%']
89;['LOCATION: Grenen {sandbar spit}', 'GPE: Sydkorea']
90;['LOCATION: Sydsjælland', 'NORP: danskere']
91;['LANGUAGE: tysk', 'MONEY: 196 $', 'MONEY: 161DKK']
92;['EVENT: DMA {awards show}', 'WORK OF ART: Sømand Af Verden', 'GPE: Helsingør']
93;['PERSON: Emil Orhan']
94;['DATE: 30-01-02', 'EVENT: EM-slutrunde']
95;['EVENT: Super Bowl XLV']
96;['TIME: 30-45 minutter']
97;['PERSON: Sebastian Klein', 'MONEY: EUR222', 'PRODUCT: PS5', 'EVENT: juleaften']
98;['PERSON: Cecilie Y.']
99;['ORGANIZATION: byretternes']
100;['DATE: 18. April 1989']
101;['PRODUCT: PH Snowball {lamp}', 'PRODUCT: Desert Eagle']
102;['LANGUAGE: dansk']
103;['DATE: i dag', 'DATE: 20. Januar 2009']
104;['FACILITY: Aarhus Domkirke', 'PERCENT: 9.85 %', 'PERSON: Jonathan Løvehjertes']
105;['ORGANIZATION: Huaweis']
106;['CARDINAL: tre', 'NORP: spaniere', 'PERCENT: 84 %']
107;['WORK OF ART: I Kina spiser de hunde']
108;['ORGANIZATION: @twittter {twitter handle}']
109;['WORK OF ART: Pokemon GO', 'QUANTITY: 151 cm', 'TIME: 13.00-23.00', 'PERCENT: 51 %']
110;['LOCATION: Sjælland', 'ORGANIZATION: Information', 'ORGANIZATION: VW', 'PRODUCT: Passat']
111;['PERSON: Nick Duus Asmussens']
112;['NORP: koreanerne']
113;['EVENT: Vildbjerg Cup', 'LOCATION: Andesbjergene']
114;['ORGANIZATION: NATO-alliancen']
115;['PERSON: Steffen Sommer Özkan']
116;['PERSON: Smilla Andresen', 'MONEY: 259KR']
117;['ORGANIZATION: FC. Københavns']
118;['MONEY: USD 123', 'LOCATION: St. Croix', 'PERSON: Iris Kryger Søgaard']
119;['PERSON: Peter Pan', 'PERSON: Bondes', 'PERCENT: 94.63 %']
120;['PERSON: Frede']
121;['ORGANIZATION: Ministeriet for Digitalisering', 'QUANTITY: 65mg']
122;['PERCENT: 19 %']
123;['PERCENT: 2 %', 'GPE: Århus', 'GPE: Kalundborg', 'QUANTITY: 65CL']
124;['TIME: formiddag']
125;['DATE: igår', 'LOCATION: Kreta', 'PERSON: Caroline Wozniacki', 'DATE: 1974']
126;['QUANTITY: 155 km']
127;['QUANTITY: 109 meter']
128;['FACILITY: Industrivej']
129;['DATE: Fredag, 13. Januar 1978', 'GPE: Beograds']
130;['EVENT: 1. Slesviske krig']
131;['PERSON: Kamal Vilhelmsen']
132;['GPE: Prag']
133;['DATE: 26/12/96', 'GPE: Storbritannien']
134;['PERCENT: 48 %']
135;['LAW: selskabslovens §§ 6']
136;['PERSON: Medinas', 'LOCATION: Møn']
137;['WORK OF ART: Den kroniske uskyld']
138;['CARDINAL: 1', 'PERSON: Naja']
139;['PERSON: Paul S. Schaltz']
140;['LOCATION: Midtjylland', 'NORP: Alternativet']
141;['LOCATION: Lolland-Falster', 'DATE: 11. Mar 90']
142;['ORGANIZATION: Sund & Bælt Holding A/S']
143;['PERSON: Kate Nørbjerg', 'GPE: Malta']
144;['WORK OF ART: Til middag hos...']
145;['PERSON: Silas', 'MONEY: femten kr']
146;['PERCENT: 22.71 %']
147;['EVENT: VidCon {convention}']
148;['EVENT: X Games']
149;['NORP: de irreligiøse']
150;['ORGANIZATION: C MOREs']
151;['MONEY: 9245kroner']
152;['ORDINAL: 1.', 'WORK OF ART: Arvingerne']
153;['LOCATION: Nordishavet', 'QUANTITY: halvfjerds hundrede kilowatt-timer']
154;['MONEY: firs euro', 'DATE: 25/05/12']
155;['NORP: Liberal Alliance', 'PERSON: Mette Frederiksens']
156;['WORK OF ART: Need of Speed Underground']
157;['DATE: 26/12/96', 'PERSON: Birgitte Q.']
158;['MONEY: dkk95']
159;['NORP: Socialistisk Folkeparti', 'GPE: Warszawa', 'QUANTITY: 252 kilometer']
160;['ORGANIZATION: TESLAs', 'EVENT: Smukfest', 'PRODUCT: Brook Knit Rib Cardigan']
161;['LANGUAGE: ukrainsk', 'PERCENT: 84 %']
162;['WORK OF ART: Proletar (Hvor Jeg Står)', 'WORK OF ART: Nattevagten', 'PERSON: Dennis R.']
163;['QUANTITY: to tusinde kvadratkilometer', 'PERCENT: seksten procent', 'WORK OF ART: Luksusfælden', 'NORP: muslimer']
164;['MONEY: 308 danske kroner', 'EVENT: 2. Slesviske krig', 'PRODUCT: Odense Pilsner']
165;['PERSON: Caroline Nørbjerg Wiggers', 'MONEY: 259 danske kroner', 'PERSON: Ibrahim Svane']
166;['EVENT: juleaften', 'WORK OF ART: Masterchef Danmark']
167;['QUANTITY: 326 meter', 'PRODUCT: Kubus {candlestick}']
168;['LOCATION: Lolland-Falster', 'GPE: Malawi']
169;['DATE: 2023']
170;['DATE: sidste år', 'WORK OF ART: Før daggry', 'FACILITY: Vinkelvej']
171;['PERSON: Pyrus', 'LANGUAGE: engelsk', 'DATE: 15. Februar 2018']
172;['LOCATION: Lolland']
173;['MONEY: 6859kr']
174;['PERSON: Nina Agdal']
175;"[""WORK OF ART: Schindler's Liste""]"
176;['WORK OF ART: Pelle Erobreren', 'EVENT: Massakren på Utøya', 'PERSON: John Dillermand']
177;['MONEY: 323 kr.', 'FACILITY: Dokk1', 'LOCATION: Jammerbugten', 'ORGANIZATION: LG', 'PRODUCT: 42LX1Q6']
178;['ORDINAL: første', 'PRODUCT: Faxe Kondi Free', 'ORGANIZATION: Fjällräven', 'PRODUCT: Kånken Mini']
179;['EVENT: Minksagen {scandal}', 'WORK OF ART: Odysseen', 'DATE: Marts']
180;['GPE: Saudi-Arabien', 'ORDINAL: anden', 'QUANTITY: 334 kilogram']
181;['PERSON: Fatima Lillians']
182;['GPE: Argentina', 'LAW: direktiv1999/96/EF ', 'LOCATION: det døde hav']
183;['PERSON: Cornelius Graversen']
184;['MONEY: 61kroner', 'QUANTITY: 78kg']
185;['GPE: Næstved']
186;['PERCENT: 13 %']
187;['PERCENT: seks procent']
188;['LANGUAGE: dansk']
189;['TIME: 10 min', 'NORP: danske']
190;['PERCENT: 75 %']
191;['PERSON: Philip', 'DATE: 2001', 'EVENT: Napoleonskrigene', 'LOCATION: Sydsjælland']
192;['GPE: New Zealand', 'PERSON: Jonna']
193;['WORK OF ART: I dragens kløer']
194;['CARDINAL: en', 'LOCATION: Jylland', 'GPE: Bruxelles']
195;['LANGUAGE: maltesisk']
196;['WORK OF ART: Med kniven for struben', 'PERSON: Marcus']
197;['ORGANIZATION: SIMAC - Svendborg International Maritime Academys']
198;['GPE: Hvidovre', 'PRODUCT: iPad', 'PERCENT: seks procent']
199;['ORDINAL: 11.']
200;['GPE: Slagelse', 'GPE: München']
201;['PERSON: Sander Mørch', 'EVENT: Krigen i Ukraine', 'ORGANIZATION: Det Hvide Hus']
202;['ORGANIZATION: The Mirror', 'CARDINAL: 21']
203;['TIME: 90 minutter', 'MONEY: Dkk332']
204;['EVENT: Cyklonen Nagir', 'PERCENT: 9.85%']
205;['MONEY: 55dkk', 'EVENT: finanskrisen']
206;['QUANTITY: syv milliliter']
207;['GPE: København', 'LANGUAGE: mandarin', 'PERCENT: 69%']
208;['PERCENT: tretten procent']
209;['PERSON: Ludvig Jansen Brogaard', 'PERSON: Kjeld Astrup', 'CARDINAL: 70', 'PERSON: Sigurd Langberg', 'WORK OF ART: Naar Bønder elsker']
210;['ORGANIZATION: Coop', 'FACILITY: Limfjordsbroen']
211;['LOCATION: Nordjylland']
212;['WORK OF ART: I Kina spiser de hunde']
213;['DATE: 15-01-81']
214;['LANGUAGE: russisk']
215;['PRODUCT: iPhone', 'GPE: Helsingør']
216;['ORGANIZATION: JP/Politikens Hus', 'LAW: Hesteloven']
217;['ORGANIZATION: Twitter', 'PERCENT: 40%', 'GPE: Bulgarien']
218;['PERSON: Lykke', 'QUANTITY: fjorten millioner milligram']
219;['PERSON: Elin X. Kjølhede']
220;['GPE: Sunds', 'LOCATION: Aalborg Øst']
221;['PERSON: Monica', 'WORK OF ART: Den store bagedyst']
222;['GPE: Greve']
223;['QUANTITY: 310 millimeter']
224;['PERCENT: 52%', 'MONEY: DKK313']
225;['MONEY: 295KR']
226;['EVENT: 9/11 {terror attack}']
227;['WORK OF ART: GTA', 'WORK OF ART: Dicte {tv series}', 'PERCENT: 22.71 %']
228;['LOCATION: Midtjylland', 'GPE: Skals', 'PERCENT: 25 %']
229;['EVENT: DMA {awards show}']
230;['LAW: straffelovens § 289']
231;['ORGANIZATION: Sage', 'PRODUCT: Barista Pro']
232;['PERCENT: 16 %', 'PERSON: Verner S.']
233;['DATE: en måned']
234;['CARDINAL: 10.5', 'MONEY: 115 kroner', 'NORP: tyrkiske']
235;['QUANTITY: 113 milliliter', 'PERCENT: 88 %']
236;['CARDINAL: 1249']
237;['PRODUCT: Fidget spinner', 'ORGANIZATION: B.T.']
238;['PERCENT: seks procent', 'GPE: Malaysia']
239;['PERSON: Ingeborg Hamdan Kruse', 'MONEY: fjorten dkk', 'NORP: norske']
240;['LOCATION: Syddanmark', 'LAW: Havneloven']
241;['EVENT: Ubådssagen {crime}', 'GPE: USA']
242;['PERSON: Johnny Brixen Voss']
243;['PERCENT: 98 %']
244;['NORP: danskere']
245;['GPE: Odense', 'PERSON: Conny Falks']
246;['QUANTITY: fjorten kvadratmeter']
247;['DATE: 15 år', 'LAW: Innovationsloven', 'ORGANIZATION: Lenovo', 'PRODUCT: Yoga']
248;['MONEY: 3221euro']
249;['PERCENT: 75 %', 'PERSON: Yusuf', 'PERCENT: 29 %']
250;['DATE: i morgen']
251;['GPE: Afghanistans', 'NORP: danskere']
252;['ORGANIZATION: SAS {airline}', 'ORGANIZATION: NVIDIA']
253;['GPE: Kirke Hyllinge']
254;['WORK OF ART: Tetris']
255;['MONEY: nitten amerikanske dollars']
256;['ORGANIZATION: The Packers {football team}']
257;['QUANTITY: 32 kvadratmeter', 'ORGANIZATION: TESLAs', 'DATE: 2022', 'MONEY: 295dkk']
258;['MONEY: 1 krona']
259;['MONEY: 30 kr.', 'MONEY: tre kronor', 'TIME: kl. 08.10']
260;['ORGANIZATION: youSees', 'EVENT: cornonaviruspandemien', 'PERSON: @andershemmingsendk', 'WORK OF ART: For lækker til love']
261;['CARDINAL: 125']
262;['PERCENT: 6 %', 'QUANTITY: 259 gram', 'QUANTITY: 259 KG']
263;['ORDINAL: 1.', 'NORP: DF {political party}', 'EVENT: Fed Fredag {concert}']
264;['QUANTITY: 95 pund']
265;['GPE: Kolding']
266;['NORP: konvertitbuddhister']
267;['QUANTITY: 3075 gram']
268;['NORP: spanierne', 'PERSON: Tetiana Kærgaard']
269;['ORDINAL: syvende', 'PRODUCT: Passat {car}', 'GPE: Bangladeshs', 'LAW: straffelovens §§ 152 - 152 e']
270;['DATE: i går', 'LOCATION: Pyrenæerne', 'EVENT: fastelavn']
271;['MONEY: 205 danske kroner', 'PERCENT: 69%']
272;['FACILITY: kannikegården']
273;['MONEY: 5081kr', 'DATE: 29-05-15', 'QUANTITY: 68 KM']
274;"['FACILITY: Domus Vista {apartment complex}', 'PRODUCT: Trek badesandal', ""PERSON: The Weekend's"", 'WORK OF ART: Blinding Lights']"
275;['PERCENT: halvfems procent']
276;['MONEY: 151 kroner']
277;['PERCENT: 86%', 'NORP: Dansk Folkeparti']
278;"['GPE: Danmarks', ""WORK OF ART: Funk'erne"", 'ORGANIZATION: Viborg {football team}']"
279;['CARDINAL: fire', 'QUANTITY: 147kvm', 'LANGUAGE: hindi', 'ORGANIZATION: Dyson', 'PRODUCT: Cyclone V10']
280;['PERCENT: ti procent']
281;['FACILITY: Garderkasernen']
282;['ORGANIZATION: Føtexs']
283;['GPE: Middelfart']
284;['QUANTITY: 32 kvadratmeter']
285;['FACILITY: Birkevej']
286;['PERCENT: nitten procent']
287;['QUANTITY: atten m']
288;['CARDINAL: ti']
289;['MONEY: 5081kr']
290;['ORGANIZATION: Siemens Gamesa Renewable Energy A/S']
291;['WORK OF ART: Forbrydelsen', 'MONEY: fjorten dkk', 'GPE: Nederlandene']
292;['WORK OF ART: Jeg Ved Det Godt', 'ORGANIZATION: Silkeborg kommune', 'GPE: Hadsten']
293;['EVENT: Málaga Feria', 'DATE: 2022']
294;['DATE: i dag']
295;['CARDINAL: femten', 'PERSON: Asger Sørensens', 'MONEY: DKK 163']
296;['PERCENT: 85 %']
297;['NORP: muslimsk']
298;['PERCENT: 39 %', 'PERCENT: 17 %']
299;['NORP: muslimsk']
300;['LOCATION: det Kaspiske Hav', 'PERCENT: 36.03%']
301;['ORDINAL: første']
302;['LOCATION: det Sydlige Ishav', 'NORP: sikher', 'ORGANIZATION: JP {media}']
303;['LANGUAGE: tyrkisk']
304;['PERCENT: 98%', 'MONEY: femten kr']
305;['LOCATION: Jylland', 'FACILITY: Storebæltsbroen', 'FACILITY: Sagrada Familia', 'LOCATION: Møns Klint']
306;['GPE: Mozambique', 'FACILITY: Næstved Svingbro', 'NORP: danske']
307;['PERSON: Reine Brynolfsson', 'WORK OF ART: Sidste dans']
308;['LOCATION: De store antiller', 'NORP: danske']
309;['PERSON: Dora Rahbek Berggren']
310;['WORK OF ART: Lolland Falster {movie}', 'ORGANIZATION: Instagram']
311;['FACILITY: Pasteurs Tårn']
312;['PRODUCT: Wii', 'FACILITY: Empire State Bulding']
313;['FACILITY: Sagrada Familia']
314;['PERCENT: 97.0 %', 'FACILITY: Funder Ådalsbroen']
315;['GPE: Allerød']
316;['ORDINAL: 6.']
317;['EVENT: Smukfest']
318;['PERSON: Toni Lynge Nedergaard', 'QUANTITY: 35 gram']
319;['LOCATION: Esbjerg Ø', 'GPE: Brøndby']
320;['EVENT: Wimbledon 2012', 'GPE: Fanøs', 'ORGANIZATION: PostNord ABs']
321;['PRODUCT: Apple Watch']
322;['EVENT: Halloween', 'GPE: Somalia', 'LOCATION: Nordsjælland']
323;['PERSON: Benny Gram']
324;['PRODUCT: Ægget {chair}']
325;['NORP: danske']
326;['GPE: Hollands']
327;['CARDINAL: 15', 'MONEY: DKK 278']
328;['ORGANIZATION: Barcelona {football team}']
329;['PERSON: Inge Lilje']
330;['DATE: November', 'PERSON: Agnete O. Ankjærs']
331;['EVENT: 11. september {terror attack}']
332;['GPE: Bolivia']
333;['NORP: norsk', 'WORK OF ART: Bag Duggede Ruder']
334;['EVENT: Karneval i Rio de Janeiro']
335;['LANGUAGE: polsk', 'LANGUAGE: dansk', 'ORGANIZATION: byretten']
336;['PERCENT: tres procent']
337;['WORK OF ART: Det Er Mig Der Står Herude og Banker På', 'QUANTITY: 135meter']
338;['GPE: Danmark', 'PERCENT: halvfems procent', 'WORK OF ART: Blinding Lights']
339;['PERSON: Kaj', 'PERSON: Andrea']
340;['GPE: Bern', 'QUANTITY: 259L']
341;['PERSON: Jonathan Nilsson']
342;['NORP: ateister', 'EVENT: fastelavn', 'DATE: 23-10-2004']
343;['PERCENT: 17.03 %']
344;['WORK OF ART: Fortnite', 'GPE: Skive', 'MONEY: en krone']
345;['MONEY: 176KR']
346;['WORK OF ART: Selskabet', 'DATE: 14/Aug/2018', 'CARDINAL: 500']
347;['GPE: Gentofte']
348;['GPE: Tórshavns', 'LAW: kildeskatteloven']
349;['LANGUAGE: catalansk']
350;['NORP: Socialdemokratiet']
351;['LANGUAGE: engelsk']
352;['GPE: Danmarks', 'PERSON: Bill Gates', 'DATE: næste måned']
353;['FACILITY: Georg Walther Andersens Vænge']
354;['TIME: i nat', 'GPE: Nicaragua', 'PERSON: Pyrus']
355;['DATE: Maj', 'PERSON: Vasyl', 'ORGANIZATION: OnePlus', 'PRODUCT: Nord 3']
356;['EVENT: 11. september {terror attack}']
357;['ORGANIZATION: Power A/S {electronics company}']
358;['GPE: Skjern', 'CARDINAL: seks hundrede']
359;['ORGANIZATION: Superligaen']
360;['GPE: Esbjergs', 'GPE: Store Heddinge']
361;['PERSON: Tim Holst Enevoldsen']
362;['ORDINAL: tredje', 'ORGANIZATION: Audi', 'PRODUCT: A6']
363;['MONEY: 7690danske kroner', 'GPE: Danmark', 'LOCATION: det Arktiske Ocean']
364;['FACILITY: the Shard']
365;['DATE: 2010', 'MONEY: dkk193']
366;['FACILITY: Storebæltsbroen', 'DATE: 24/Maj/1984']
367;['ORGANIZATION: Zetland', 'PERCENT: 26 %', 'ORGANIZATION: Volkswagen', 'PRODUCT: Touran']
368;['LOCATION: Madsebakke']
369;['PERSON: Mette Frederiksen', 'PRODUCT: Duo Concealer', 'WORK OF ART: Kærligheden Kalder']
370;['NORP: Socialdemokratiet', 'PERSON: Casper C. Holm']
371;['LANGUAGE: kinesisk', 'PERSON: Deniz', 'CARDINAL: ni']
372;['DATE: en uge', 'ORGANIZATION: DMJX {journalism school}', 'ORGANIZATION: Ford', 'PRODUCT: Fiesta']
373;['PERSON: Hanne-Vibeke Holst', 'WORK OF ART: Undskyldningen']
374;['GPE: Helsinki', 'EVENT: JazzFest Berlin', 'ORGANIZATION: Aalborg Pirates', 'PERSON: Jasmins']
375;['PERCENT: 96 %']
376;['ORGANIZATION: AGF {football team}']
377;['QUANTITY: 32KM', 'GPE: Fillipinernes']
378;['GPE: Middelfart']
379;['EVENT: Krystalnatten', 'PERCENT: fjorten procent']
380;['LOCATION: Syddanmark']
381;['LAW: Kongeloven', 'TIME: en time']
382;['TIME: kl 13.30', 'PERSON: Mærsk Mc-Kinney Møllers', 'MONEY: 308 kr']
383;['DATE: igår']
384;['LOCATION: Vestjylland']
385;['DATE: 1993']
386;['PRODUCT: VitaPower Blender MMB6141B']
387;['FACILITY: Mercury City Tower', 'GPE: København']
388;"['NORP: Danmarksdemokraterne', ""DATE: 90'erne""]"
389;['WORK OF ART: Velkommen Til Medina', 'QUANTITY: atten joule']
390;['GPE: Hornslet']
391;['PRODUCT: Xbox']
392;['WORK OF ART: Get Ur Freak On', 'PERCENT: 17%', 'PERCENT: 48.11%']
393;['PERCENT: 28 %', 'WORK OF ART: Danmark har talent']
394;['CARDINAL: 12', 'MONEY: 3221danske kroner']
395;['MONEY: 176KR', 'GPE: San Marino', 'FACILITY: Almegårds Kaserne', 'ORGANIZATION: Bose', 'PRODUCT: QuietComfort 45']
396;['ORGANIZATION: kvindelandsholdet', 'ORGANIZATION: The Mirror']
397;['WORK OF ART: Under sandet']
398;['ORGANIZATION: Danmarks Tekniske Universitet']
399;['GPE: Danmark', 'TIME: to minutter', 'ORGANIZATION: Nike', 'PRODUCT: Air Max 1']
400;['WORK OF ART: En kongelig affære']
401;['EVENT: 2. Verdenskrig', 'CARDINAL: ti']
402;['PERSON: Jonathan Løvehjerte']
403;['NORP: dansk']
404;['PERCENT: halvfems procent']
405;['PERSON: Ole']
406;['NORP: dansk', 'DATE: elleve måneder']
407;['WORK OF ART: Selskabet']
408;['DATE: 26. September 2000', 'PERSON: Matias Borg Greve']
409;['ORGANIZATION: Nordsjælland {football team}']
410;['WORK OF ART: Kongens fald ']
411;['PERCENT: 32.94 %', 'DATE: 18 uger']
412;['PERSON: Homer Simpson', 'PERSON: Mathias']
413;['PERCENT: 28 %', 'GPE: Danmarks', 'TIME: i nat']
414;['PERCENT: 99 %']
415;['PERSON: Ellie', 'CARDINAL: 40']
416;['TIME: 20 min']
417;['FACILITY: Frederiksborg slotshave']
418;['GPE: Frankrigs', 'PRODUCT: Hammershøi Vase', 'CARDINAL: to']
419;['PRODUCT: Erdinger Weissbier', 'MONEY: 65pesos', 'PERSON: Selena Gomez', 'WORK OF ART: Good for you']
420;['LOCATION: Nilen', 'ORGANIZATION: Berlingske', 'PERSON: Heine Thygesen']
421;['ORGANIZATION: Justitsministeriet']
422;['TIME: klokken halv syv']
423;['DATE: 1991']
424;['PERSON: Børge Outze', 'WORK OF ART: En Dag Tilbage', 'PERCENT: 40 %']
425;['DATE: 11/12/16']
426;['NORP: franske', 'GPE: Cph']
427;['ORGANIZATION: Viborg {football team}', 'GPE: Solrød']
428;['TIME: 13.00-23.00', 'FACILITY: Ditlevsdal gårdbutik']
429;['PRODUCT: Sirrus 46 vandrerygsæk']
430;['ORGANIZATION: Nintendo']
431;['MONEY: 1 krone']
432;"['TIME: et kvarter', 'ORDINAL: 24.', ""DATE: Mandag, 08. August '22""]"
433;['NORP: hinduer']
434;['WORK OF ART: In Search of Lost Time']
435;['NORP: danskere']
436;['NORP: muslimerne']
437;['PERSON: Jesper Klitgaard']
438;['PERSON: Doris K.', 'WORK OF ART: Ludo', 'PERCENT: 99 %']
439;['PERSON: Pia Olsen Dyhr']
440;['MONEY: en krone', 'PRODUCT: 1664 Blanc']
441;"['ORGANIZATION: Fox News', 'PERSON: Alex Vanopslaghs', ""EVENT: MGP 2006 {children's singing contest}""]"
442;['DATE: Søndag']
443;['PERSON: Dion Himmelstrup Steffensen']
444;['GPE: Hamborg', 'PERCENT: 65 %']
445;['EVENT: Utøya {massacre}', 'PERSON: Toke J.']
446;['MONEY: 208 kroner']
447;['ORDINAL: 3.']
448;['QUANTITY: 87 meter']
449;['PERCENT: 85 %']
450;['DATE: 07. Juli 2013']
451;['PERCENT: 6 %']
452;['PERSON: Harry Potter']
453;['PERSON: Alex Brouer Skous']
454;['LANGUAGE: svensk']
455;['QUANTITY: 2597 dekameter']
456;['PERSON: Johnsens']
457;['PERSON: Leonardo DiCaprio']
458;['LANGUAGE: azerbaijani', 'PERSON: Natasjas', 'PERSON: Jon C. Agersnap', 'ORGANIZATION: Berlingske']
459;['PERCENT: 8 %', 'LOCATION: Midtjylland', 'PERSON: Hannah Ibsen Liboriussen']
460;['LANGUAGE: rumænsk']
461;['FACILITY: Aarhus hovedbanegård', 'GPE: Riga']
462;['PRODUCT: Wonder Perfect Mascara 4D 01 Black']
463;['EVENT: finanskrisen']
464;['GPE: New Zealand', 'GPE: Stockholm', 'ORGANIZATION: Zetland', 'MONEY: 5690pund']
465;['GPE: Kalundborgs']
466;['LAW: § 17, stk. 1, nr. 3']
467;['PERSON: Adrian']
468;['GPE: Usbekistan']
469;['FACILITY: Vikingeskibsmuseet', 'PERCENT: 40 %', 'ORGANIZATION: BIF {football team}']
470;['EVENT: Human Genome Projektet', 'LANGUAGE: engelsk']
