entity,weight,context
27/03/22,1,
2022-03-27,1,
"Sep 20th, 2000",1,
"Onsdag, 20-Sep-00",1,
"Feb 13th, 2019",1,
"Onsdag, 13. Februar '19",1,
22. September 2007,1,
September 22 2007,1,
24-08-2023,1,
24/08/23,1,
"Fredag, 10. Januar 2020",1,
10/Jan/2020,1,
16. Maj 14,1,
"Fredag, 16-Maj-14",1,
2011-08-28,1,
"28 Aug, 2011",1,
2001-03-24,1,
24/03/01,1,
"Feb 28th, 1972",1,
"Mandag, 28-Feb-72",1,
24-11-1999,1,
"24 Nov, 1999",1,
27/Aug/1980,1,
August 27 1980,1,
"Mandag, 27. Februar 2012",1,
"Mandag, 27. Februar '12",1,
06. Dec 04,1,
06. December 2004,1,
27. April 2006,1,
27/04/06,1,
24/Dec/2002,1,
2002-12-24,1,
17-04-2011,1,
17. Apr 11,1,
"09 Nov, 2014",1,
November 09 2014,1,
"Fredag, 21. Juni 2002",1,
"Jun 21th, 2002",1,
"Fredag, 10. April '20",1,
"Fredag, 10-Apr-20",1,
04/09/23,1,
04/Sep/2023,1,
2015-02-14,1,
"14 Feb, 2015",1,
"Søndag, 03. December '17",1,
"Søndag, 03-Dec-17",1,
"Søndag, 11. Juni 2006",1,
11-06-2006,1,
11. November 2023,1,
November 11 2023,1,
"Aug 25th, 1982",1,
25. Aug 82,1,
01. Okt 21,1,
01-10-2021,1,
26/08/98,1,
"Onsdag, 26. August 1998",1,
29. December 2007,1,
"29 Dec, 2007",1,
"Sep 10th, 1995",1,
"Søndag, 10-Sep-95",1,
30/Jan/2016,1,
"Lørdag, 30. Januar '16",1,
Januar 19 2007,1,
2007-01-19,1,
"Lørdag, 04. Maj 2002",1,
"Lørdag, 04-Maj-02",1,
"Jun 29th, 2012",1,
2012-06-29,1,
29-07-2022,1,
"Fredag, 29. Juli '22",1,
05. December 1971,1,
"05 Dec, 1971",1,
Februar 03 2010,1,
03/02/10,1,
04/Okt/2001,1,
04. Okt 01,1,
16/Jul/1980,1,
"Jul 16th, 1980",1,
"Torsdag, 09-Jul-87",1,
09-07-1987,1,
2022-01-17,1,
"Mandag, 17. Januar 2022",1,
02/10/00,1,
"Mandag, 02. Oktober '00",1,
27. November 2001,1,
"27 Nov, 2001",1,
Januar 07 2011,1,
07. Jan 11,1,
"Fredag, 21. Juli 2000",1,
21. Jul 00,1,
"Fredag, 07. Oktober '77",1,
"Fredag, 07-Okt-77",1,
16/05/21,1,
16/Maj/2021,1,
2023-03-17,1,
"Mar 17th, 2023",1,
"19 Feb, 2014",1,
19-02-2014,1,
30. April 2005,1,
April 30 2005,1,
06/Apr/2014,1,
06. April 2014,1,
20. Aug 05,1,
August 20 2005,1,
"Fredag, 30. Marts '01",1,
"30 Mar, 2001",1,
2011-11-07,1,
"Mandag, 07-Nov-11",1,
19-04-2012,1,
"Torsdag, 19. April 2012",1,
03/11/85,1,
"Nov 03th, 1985",1,
15. Januar 2000,1,
2000-01-15,1,
10. Mar 09,1,
10/03/09,1,
06/Aug/2000,1,
06-08-2000,1,
August 06 2005,1,
"Lørdag, 06-Aug-05",1,
"Torsdag, 30. Oktober 1986",1,
"30 Okt, 1986",1,
"Jul 09th, 2006",1,
"Søndag, 09. Juli '06",1,
"Torsdag, 30. Marts '17",1,
30. Marts 2017,1,
"Dec 14th, 2009",1,
2009-12-14,1,
11/Aug/2000,1,
"Fredag, 11. August 2000",1,
25/12/10,1,
December 25 2010,1,
"01 Dec, 2010",1,
"Onsdag, 01-Dec-10",1,
07. Nov 07,1,
07-11-2007,1,
23-05-2019,1,
2019-05-23,1,
"01 Mar, 2010",1,
01/03/10,1,
09. August 2018,1,
"Torsdag, 09-Aug-18",1,
13. Jan 08,1,
"Søndag, 13. Januar '08",1,
09/Feb/1998,1,
"Feb 09th, 1998",1,
"Søndag, 03. Februar 1985",1,
Februar 03 1985,1,
Maj 18 2008,1,
18. Maj 2008,1,
2019-07-23,1,
23/07/19,1,
"05 Okt, 1996",1,
"Okt 05th, 1996",1,
18. Jan 08,1,
18/Jan/2008,1,
"Mandag, 12. Juli '04",1,
"Mandag, 12. Juli 2004",1,
"Onsdag, 15-Dec-71",1,
15-12-1971,1,
"Tirsdag, 12-Maj-92",1,
12. Maj 1992,1,
"Tirsdag, 17. November '20",1,
17-11-2020,1,
Juni 20 1970,1,
20/06/70,1,
2013-01-11,1,
"Jan 11th, 2013",1,
"11 Jul, 1984",1,
"Onsdag, 11. Juli 1984",1,
02/Jan/1972,1,
02. Jan 72,1,
"10 Jul, 1987",1,
Juli 10 1987,1,
19/Sep/2015,1,
19/09/15,1,
"Jul 27th, 2006",1,
2006-07-27,1,
04-09-2010,1,
04. Sep 10,1,
"Onsdag, 03. Januar 2007",1,
"Onsdag, 03. Januar '07",1,
"Tirsdag, 26-Jan-16",1,
26. Januar 2016,1,
"27 Jul, 2003",1,
27/Jul/2003,1,
"Lørdag, 29. Marts '80",1,
Marts 29 1980,1,
"Jul 20th, 2020",1,
"Mandag, 20-Jul-20",1,
"Fredag, 06. Januar 2012",1,
06. Januar 2012,1,
03/11/00,1,
2000-11-03,1,
13. Aug 97,1,
13-08-1997,1,
"10 Aug, 2017",1,
"Torsdag, 10. August '17",1,
09-11-2006,1,
"Nov 09th, 2006",1,
September 27 2000,1,
27/Sep/2000,1,
"Torsdag, 01-Maj-14",1,
01/05/14,1,
04. Mar 88,1,
1988-03-04,1,
22. Maj 1984,1,
"Tirsdag, 22. Maj 1984",1,
"Aug 15th, 1990",1,
15/Aug/1990,1,
22/07/89,1,
1989-07-22,1,
30. Juni 2010,1,
Juni 30 2010,1,
"25 Aug, 1976",1,
"Onsdag, 25. August '76",1,
23. Nov 19,1,
"Lørdag, 23-Nov-19",1,
"Søndag, 13. April 1980",1,
13-04-1980,1,
01-07-1982,1,
"Jul 01th, 1982",1,
23. Nov 22,1,
2022-11-23,1,
"Søndag, 17. Februar '02",1,
Februar 17 2002,1,
21/Nov/2006,1,
"Tirsdag, 21-Nov-06",1,
"09 Mar, 2007",1,
09/03/07,1,
"Fredag, 04. April 2008",1,
04. April 2008,1,
19/Dec/1975,1,
"Fredag, 19. December '75",1,
Juni 20 2002,1,
20. Juni 2002,1,
"21 Dec, 2019",1,
"Lørdag, 21. December 2019",1,
27/01/04,1,
2004-01-27,1,
08-03-1978,1,
"Mar 08th, 1978",1,
06. Dec 09,1,
"Søndag, 06-Dec-09",1,
"Fredag, 02. Maj 2003",1,
"Fredag, 02. Maj '03",1,
11. Okt 23,1,
"Okt 11th, 2023",1,
2019-02-19,1,
"Tirsdag, 19-Feb-19",1,
"01 Aug, 1974",1,
01. August 1974,1,
November 21 2010,1,
21/11/10,1,
24/Sep/1984,1,
24-09-1984,1,
"27 Jan, 2019",1,
Januar 27 2019,1,
"Onsdag, 08-Nov-06",1,
08-11-2006,1,
14/04/15,1,
14. Apr 15,1,
19. Oktober 2017,1,
19/Okt/2017,1,
"Mar 23th, 2009",1,
2009-03-23,1,
"Tirsdag, 15. Maj 2007",1,
"Tirsdag, 15. Maj '07",1,
12/06/07,1,
"Jun 12th, 2007",1,
"17 Aug, 2023",1,
17. Aug 23,1,
29. Maj 2009,1,
"Fredag, 29. Maj 2009",1,
2020-06-12,1,
"Fredag, 12-Jun-20",1,
17/Jun/2009,1,
"Onsdag, 17. Juni '09",1,
16-11-2021,1,
November 16 2021,1,
16. September 2005,1,
16/Sep/2005,1,
"Lørdag, 31. Maj 1980",1,
"Lørdag, 31-Maj-80",1,
2002-12-21,1,
21-12-2002,1,
26. Okt 08,1,
"Søndag, 26. Oktober '08",1,
"Nov 22th, 2016",1,
"22 Nov, 2016",1,
August 05 1984,1,
05/08/84,1,
04/Sep/2017,1,
04. September 2017,1,
"Jul 14th, 2016",1,
2016-07-14,1,
12. Dec 14,1,
12/12/14,1,
"09 Jan, 2022",1,
"Søndag, 09-Jan-22",1,
November 05 2016,1,
"Lørdag, 05. November 2016",1,
"Mandag, 02. Juni '14",1,
02-06-2014,1,
2023-11-09,1,
"Torsdag, 09. November '23",1,
"13 Jul, 1988",1,
13/07/88,1,
"Onsdag, 05. Maj 2004",1,
"Onsdag, 05-Maj-04",1,
Marts 06 1988,1,
06-03-1988,1,
16/Dec/2010,1,
16. Dec 10,1,
"Maj 14th, 2004",1,
14. Maj 2004,1,
"Onsdag, 03. Januar 2018",1,
03-01-2018,1,
"07 Mar, 2001",1,
"Onsdag, 07-Mar-01",1,
2000-04-28,1,
April 28 2000,1,
"Mandag, 13. December '99",1,
13/12/99,1,
"Jul 23th, 2013",1,
23. Juli 2013,1,
13/Nov/1987,1,
13. Nov 87,1,
05/Jul/2008,1,
"Lørdag, 05. Juli '08",1,
13. November 1980,1,
13/11/80,1,
"Søndag, 06. April 2003",1,
06. Apr 03,1,
"Jan 03th, 2011",1,
"03 Jan, 2011",1,
2007-07-28,1,
"Lørdag, 28-Jul-07",1,
Januar 06 2006,1,
06-01-2006,1,
27-11-2002,1,
"Nov 27th, 2002",1,
Juni 13 2022,1,
"13 Jun, 2022",1,
13. Sep 05,1,
"Tirsdag, 13. September '05",1,
2011-11-05,1,
05/Nov/2011,1,
"Tirsdag, 02. Marts 1999",1,
02/03/99,1,
"Onsdag, 02-Okt-19",1,
02. Oktober 2019,1,
September 22 2008,1,
"Mandag, 22. September '08",1,
10. Sep 70,1,
10-09-1970,1,
04/02/98,1,
"04 Feb, 1998",1,
"Søndag, 24. December 2023",1,
24/Dec/2023,1,
"Søndag, 26-Apr-20",1,
26. April 2020,1,
2008-11-07,1,
"Nov 07th, 2008",1,
1976-11-26,1,
November 26 1976,1,
09. Februar 2003,1,
09/02/03,1,
"Onsdag, 30-Maj-12",1,
30. Maj 12,1,
"Jul 28th, 2008",1,
"28 Jul, 2008",1,
27-11-2017,1,
27/Nov/2017,1,
"Tirsdag, 29. Maj '18",1,
"Tirsdag, 29. Maj 2018",1,
2018-03-02,1,
02/03/18,1,
19/Nov/1981,1,
"19 Nov, 1981",1,
"Tirsdag, 14. December 2021",1,
14-12-2021,1,
"Torsdag, 26. Marts '09",1,
"Mar 26th, 2009",1,
"Fredag, 18-Jan-19",1,
18. Jan 19,1,
27. Februar 1999,1,
Februar 27 1999,1,
12. Mar 22,1,
"Lørdag, 12. Marts '22",1,
"Onsdag, 01. Februar 1995",1,
"Feb 01th, 1995",1,
12. December 2023,1,
"12 Dec, 2023",1,
"Fredag, 05-Mar-04",1,
2004-03-05,1,
16-02-2007,1,
16/02/07,1,
20/Maj/2017,1,
Maj 20 2017,1,
12/05/96,1,
12. Maj 96,1,
"Okt 29th, 2021",1,
"29 Okt, 2021",1,
"Torsdag, 31. Juli 2008",1,
Juli 31 2008,1,
08-05-2011,1,
"Søndag, 08-Maj-11",1,
2002-07-08,1,
08. Juli 2002,1,
"Onsdag, 09. April '08",1,
09/Apr/2008,1,
2023-01-22,1,
22/Jan/2023,1,
"Torsdag, 18. April '19",1,
April 18 2019,1,
"Okt 06th, 1990",1,
"Lørdag, 06-Okt-90",1,
15-09-1973,1,
15. September 1973,1,
27. Jul 08,1,
27/07/08,1,
"Torsdag, 02. Maj 2013",1,
"02 Maj, 2013",1,
"Lørdag, 27. November '10",1,
"Nov 27th, 2010",1,
01-12-2011,1,
01. Dec 11,1,
"23 Dec, 2015",1,
23. December 2015,1,
01/10/99,1,
"Fredag, 01-Okt-99",1,
Marts 25 2018,1,
2018-03-25,1,
"Søndag, 23. Oktober 2011",1,
23/Okt/2011,1,
August 22 2003,1,
"Fredag, 22. August 2003",1,
"Dec 21th, 2017",1,
21. Dec 17,1,
"12 Mar, 2018",1,
12/03/18,1,
20/Okt/1979,1,
"Lørdag, 20. Oktober '79",1,
2005-12-26,1,
26-12-2005,1,
07. November 2020,1,
"Lørdag, 07-Nov-20",1,
"12 Dec, 2007",1,
"Onsdag, 12-Dec-07",1,
"Onsdag, 25. August '82",1,
"Aug 25th, 1982",1,
Februar 14 2007,1,
14. Feb 07,1,
15-05-2010,1,
"Lørdag, 15. Maj 2010",1,
08/Jul/1974,1,
08. Juli 1974,1,
1997-02-17,1,
17/02/97,1,
